timestamp,price,market_cap,total_volume,date,coin
1770303771227,69359.6011297701,1394122500392.2083,103105296987.13713,2026-02-05 15:02:51.227,bitcoin
1770307367386,67375.62427275744,1348377220973.9692,111543279006.64403,2026-02-05 16:02:47.386,bitcoin
1770310907488,68153.73192299498,1367239811611.1584,115145664123.41508,2026-02-05 17:01:47.488,bitcoin
1770314587444,66086.43132742122,1323145260863.321,114759451303.22765,2026-02-05 18:03:07.444,bitcoin
1770318158071,66223.31451175398,1323339419787.1995,116953798388.09792,2026-02-05 19:02:38.071,bitcoin
1770321786580,65141.50387868692,1302815066761.8638,119140008425.1309,2026-02-05 20:03:06.580,bitcoin
1770325432325,63880.77153870422,1268051525678.0024,131958390918.6235,2026-02-05 21:03:52.325,bitcoin
1770328994760,63151.480794216,1260693833714.076,136841206726.9764,2026-02-05 22:03:14.760,bitcoin
1770332589772,63819.50494183307,1278449498217.379,140635639166.15842,2026-02-05 23:03:09.772,bitcoin
1770336185158,62822.26414504872,1258539183266.0337,142969080106.98886,2026-02-06 00:03:05.158,bitcoin
1770339766464,63474.177236593816,1268771716948.4065,156013535568.44662,2026-02-06 01:02:46.464,bitcoin
1770343352077,65564.69260917806,1309706987391.8672,162374904265.32797,2026-02-06 02:02:32.077,bitcoin
1770346828120,64816.18565684104,1295203389368.7874,163736099802.59894,2026-02-06 03:00:28.120,bitcoin
1770350595073,64091.22967946813,1280244016470.7207,161516430150.3972,2026-02-06 04:03:15.073,bitcoin
1770354169928,64822.456067695086,1295413333587.818,159552982310.2272,2026-02-06 05:02:49.928,bitcoin
1770357800975,66360.16683425578,1324951493672.3748,162264206968.74994,2026-02-06 06:03:20.975,bitcoin
1770361411020,64760.099244767305,1300238004626.114,161997384220.77988,2026-02-06 07:03:31.020,bitcoin
1770365010609,64762.31745067788,1294278723090.354,162318983230.30447,2026-02-06 08:03:30.609,bitcoin
1770368557087,64812.45812521936,1295650346535.6572,162197083585.63916,2026-02-06 09:02:37.087,bitcoin
1770372070528,65743.1389952177,1314298829234.8801,165270409326.77658,2026-02-06 10:01:10.528,bitcoin
1770375791873,65852.64638550671,1316383267082.4922,165388006623.69128,2026-02-06 11:03:11.873,bitcoin
1770379414016,66468.2306680357,1328369574770.211,164183065633.5603,2026-02-06 12:03:34.016,bitcoin
1770383009986,66475.34350850893,1328319175118.5225,160591669868.12067,2026-02-06 13:03:29.986,bitcoin
1770386606188,67249.23666728205,1346412321146.6826,162169925886.1174,2026-02-06 14:03:26.188,bitcoin
1770390191417,68114.36357083579,1359473711331.2727,164512877815.2768,2026-02-06 15:03:11.417,bitcoin
1770393815201,68582.16605772382,1370607134230.502,157357383903.03918,2026-02-06 16:03:35.201,bitcoin
1770397391194,69871.99988930697,1399153617091.6199,159453872658.0922,2026-02-06 17:03:11.194,bitcoin
1770400953543,70772.61875586561,1413973722966.0295,158805332144.58868,2026-02-06 18:02:33.543,bitcoin
1770404532385,69753.80678459951,1394177162487.7498,155754508695.3443,2026-02-06 19:02:12.385,bitcoin
1770408165035,70670.2604369606,1413115627446.0159,153010324806.8534,2026-02-06 20:02:45.035,bitcoin
1770411794009,69990.28130807572,1399844899539.2327,141509745628.22903,2026-02-06 21:03:14.009,bitcoin
1770415413268,70289.43455211335,1405417297072.4565,134951738286.69255,2026-02-06 22:03:33.268,bitcoin
1770418943560,71297.63519930553,1424905056534.492,132024258013.65224,2026-02-06 23:02:23.560,bitcoin
1770422513674,70545.5121611041,1409456747955.5288,128240322935.28181,2026-02-07 00:01:53.674,bitcoin
1770426180531,69924.37333126029,1397402371552.0125,112714668980.12349,2026-02-07 01:03:00.531,bitcoin
1770429748253,70471.75839223956,1408479938966.4165,108575067303.52345,2026-02-07 02:02:28.253,bitcoin
1770433383055,70323.87573035707,1404672703279.629,103832603184.51918,2026-02-07 03:03:03.055,bitcoin
1770436854461,70793.24406711856,1414666712829.433,103167736814.82657,2026-02-07 04:00:54.461,bitcoin
1770440660268,70717.02791109454,1412768560248.9104,101450324029.38416,2026-02-07 05:04:20.268,bitcoin
1770444243769,70109.21450925693,1398173184276.451,99122888504.07677,2026-02-07 06:04:03.769,bitcoin
1770447669434,68878.39427353993,1377918393577.7896,98126969432.4773,2026-02-07 07:01:09.434,bitcoin
1770451431218,68052.86603622913,1361231924198.2844,99416928440.32393,2026-02-07 08:03:51.218,bitcoin
1770454950609,68503.0750122388,1369604200204.4138,99303906320.82433,2026-02-07 09:02:30.609,bitcoin
1770458417946,68042.75346202428,1360080938299.8855,98940574772.11115,2026-02-07 10:00:17.946,bitcoin
1770462149277,67959.15338417077,1357111503374.5095,97563955211.08904,2026-02-07 11:02:29.277,bitcoin
1770465789434,67902.78315971121,1354279877673.3208,97208075934.88637,2026-02-07 12:03:09.434,bitcoin
1770469371796,68967.55007208827,1377541826798.6304,99031866216.78864,2026-02-07 13:02:51.796,bitcoin
1770472965726,68966.60908394787,1377943733016.2556,96148208102.0116,2026-02-07 14:02:45.726,bitcoin
1770476597965,68572.18589500991,1369437729350.2896,91161881883.90984,2026-02-07 15:03:17.965,bitcoin
1770480237146,69097.79894772926,1380014076829.1458,87345575063.76035,2026-02-07 16:03:57.146,bitcoin
1770483818965,68955.47179965663,1376389010217.4355,84835407217.02838,2026-02-07 17:03:38.965,bitcoin
1770487205809,69077.46959337214,1381954545131.1738,83877612461.54242,2026-02-07 18:00:05.809,bitcoin
